Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
TNRC6A,-2.0828224797572754,4.540410719132026,-61.481811150990026,7.073630578237281e-218,6.052839248383371e-216,488.7068235934817
SAFB2,-3.192245802899348,5.11427000333919,-61.46161736305669,8.049810161151876e-218,6.850299987687925e-216,488.5776551428464
SIN3B,-2.764289810541316,4.82206810505742,-61.39771959224511,1.2120822984685881e-217,1.0249379451767377e-215,488.1687136952651
EPHB4,-2.9398269425536445,4.831423927624813,-61.39700524654711,1.217643219993025e-217,1.0249379451767377e-215,488.16414001504
AAMP,-3.9062564311374794,5.606947424366593,-61.38221730029279,1.3386819591165573e-217,1.1207300639349859e-215,488.0694489735964
GNB2,-4.16808951041759,5.7844780400902485,-61.359988659412615,1.5436834562094114e-217,1.2854069553640517e-215,487.9270790617393
NDN,-4.343110655571364,4.842027197235791,-61.29593481459275,2.3279454032191967e-217,1.9280865457250759e-215,487.5165975049599
ECHDC2,-4.042286862218475,5.3964598819942555,-61.28747528366211,2.4578018060508233e-217,2.0248103389422952e-215,487.4623600753776
KAT8,-2.648238701761841,4.657950820390827,-61.25362445022711,3.0542481420388387e-217,2.502867472163891e-215,487.245269247044
RHOT2,-3.503117238069313,5.288330557853855,-61.23441289115212,3.4552056494944227e-217,2.8165381631247166e-215,487.122019979134
POLDIP3,-3.3241624529121747,5.285303342657039,-61.18962289777481,4.606999009851882e-217,3.735769668302929e-215,486.8345561091917
CLTB,-3.499714384604549,5.18428949752831,-61.17829739164752,4.954761014165361e-217,3.996840551426725e-215,486.7618420817398
CBX7,-4.042021043925052,4.959866678293217,-61.176159750662954,5.023292447102617e-217,4.031127120244836e-215,486.74811641857553
CLASRP,-3.2804984786012783,5.027043966711295,-60.976091839030964,1.819996645456966e-216,1.4529381664791131e-214,485.4618022892132
NCOR2,-2.9197308204985823,5.040530726494807,-60.975299937073046,1.8293061884260527e-216,1.4529381664791131e-214,485.45670418947515
TUBGCP6,-2.6679573176994156,4.71580249211203,-60.90453427447928,2.8866034259462137e-216,2.281005809237498e-214,485.00091732112816
COL12A1,-3.552429037161317,5.161838511815987,-60.90243612756148,2.925926595626445e-216,2.300342696094537e-214,484.98739718228876
MMP2,-5.09429182763663,5.816199847812305,-60.8855572240063,3.2624372939807396e-216,2.5519509499582675e-214,484.87861865762545
DNAJC4,-3.455865959091141,5.001660764601006,-60.87684841292445,3.4509612256218024e-216,2.6858536413281645e-214,484.82248411598175
COL16A1,-5.0058207941410195,5.362861170094226,-60.86320227484898,3.768560935288934e-216,2.9183735882877505e-214,484.734512146559
BLM,2.712140461153824,1.8192757389613023,60.78161470372692,6.381443877264326e-216,4.9172041179636754e-214,484.20821856923993
ATN1,-5.036827580998256,6.26900877753297,-60.757576250097195,7.453506628606747e-216,5.714847062567391e-214,484.0530479212162
EFEMP2,-3.9562176927879835,5.29423669156209,-60.719672662939885,9.522362829641558e-216,7.265140665294998e-214,483.808277590118
TGFB1I1,-4.203334592523371,4.975576841858509,-60.69060401923892,1.1491248071844794e-215,8.724335791016284e-214,483.6204787376164
EZH1,-3.1533778025426344,5.002126428404403,-60.68155723834213,1.2183614088959156e-215,9.204869024868262e-214,483.562017201315
MARVELD2,3.0936346546896525,2.005240828503915,60.67351833479897,1.2833846222057962e-215,9.649058751807462e-214,483.51006291510004
ARFGAP2,-2.827664400723558,4.952056671774625,-60.64936251063296,1.5004549661532966e-215,1.1226592519701575e-213,483.3539144706279
PKDCC,-4.715782542089824,5.43408120686608,-60.55777635820933,2.7147446288367453e-215,2.021440615933823e-213,482.7614343906127
PEBP1,-5.141328949834253,6.527778108782962,-60.5444589880043,2.959361105855895e-215,2.193042335286895e-213,482.67522394702917
CENPE,2.6302560569393645,1.893545673690603,60.520744851231875,3.450918729415173e-215,2.5451347276753423e-213,482.5216725461889
DDAH2,-3.4396030389959846,5.19492815541218,-60.51494806573216,3.583036913308997e-215,2.6300509816743958e-213,482.4841305448899
PRRT2,-4.788916553054615,4.933527205963795,-60.49428629326964,4.096558678827302e-215,2.992806642343267e-213,482.3502945766308
PKD2,-2.556054740191793,4.696347637810841,-60.40759729309551,7.188529994989935e-215,5.227040026403949e-213,481.7883752062109
MRPL41,-4.321914481984485,5.339842379025469,-60.37461035065701,8.905196261596458e-215,6.445031761663829e-213,481.5743859909795
FAM220A,3.171092630542761,1.9120166334636213,60.32576470471291,1.223016385742338e-214,8.810268735989456e-213,481.2573502927952
R3HDM2,-2.4111913322101968,4.717838311626542,-60.271752825400974,1.7373868105052799e-214,1.245770690791934e-212,480.9065467893178
KLHDC8A,-5.887077940917289,5.65168826153199,-60.2658477707634,1.8053930148260045e-214,1.2885680651440167e-212,480.86817881410406
RPS19BP1,-3.565681741897056,5.202255686087786,-60.10247102322479,5.22924749996323e-214,3.715164462359198e-212,479.80546376073335
H6PD,-3.12257377767966,5.043670105737634,-60.067837902586994,6.553506670302155e-214,4.6347356762392596e-212,479.579893566373
CSRP1,-4.740450043202269,5.9359609164691784,-60.052261919753754,7.2540154899579965e-214,5.10682690493043e-212,479.4784116790126
